Tahun Anggaran;Satuan Kerja;ID RUP;ID Tender;Nama Paket;Pemenang;Pagu;HPS;Harga Penawaran;Akun;Jenis Belanja;Jenis Pengadaan;1234;Metode Pengadaan;%Efisiensi;Lokasi_Prov;Klasifikasi BJ;Tanggal Pengumuman;Tanggal Akhir Masa Sanggah;Lama Tender (Hari Kerja)
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36175639;36942011;Pengembangan Sistem Media Penyimpanan Object Storage Kementerian Keuangan TA 2022 (Tender Ulang);PT. MITRA SOLUSI INFOKOM;1840219;1840219;1839048;532111;Modal;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;07/09/2022;27/09/2022;15
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36175647;36941011;Pengembangan Sistem Virtualisasi Kementerian Keuangan TA 2022;Mastersystem Infotama;19026371;16074243;16073910;536111;Modal;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;09/09/2022;28/09/2022;14
2022;GEDUNG KEUANGAN NEGARA JAYAPURA;36470404;36937011;Pekerjaan Konstruksi Pembangunan Talud Keliling dan Timbunan Rumah Susun Negara Gedung Keuangan Negara Jayapura;CV. CENDERAWASIH MANDIRI;7039916;6958903;5567122;531115;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Papua;Pekerjaan Konstruksi;08/09/2022;28/09/2022;15
2022;KANTOR PUSAT DJKN;36470398;36930011;Pengadaan Jasa Konsultansi Penyusunan Roadmap Dukungan Pemerintah Kepada BUMN Tahun Anggaran 2022;PT.Sinergi Visi Utama;1121931;1018378;1018370;522131;Barang;Jasa Konsultasi;1;Seleksi;0;DKI Jakarta;Konsultansi;04/09/2022;22/10/2022;35
2022;KANTOR PELAYANAN PAJAK PRATAMA SEMARANG TIMUR;36460235;36922011;Paket Pengadaan Renovasi Gedung KPP Pratama Semarang Timur;PT. MARVIC LUMONGGA INDAH;3690077;3634726;2907781;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Jawa Tengah;Pekerjaan Konstruksi;14/09/2022;27/09/2022;10
2022;KANTOR PELAYANAN PAJAK PRATAMA BANDA ACEH;36339470;36919011;Pekerjaan Lanjutan Pembangunan Gedung KPP Pratama Banda Aceh;CV. ANINDHIKA PRATAMA;1605999;1605999;1284799;533111;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Aceh;Pekerjaan Konstruksi;12/09/2022;05/10/2022;18
2022;BADAN PENGELOLA DANA LINGKUNGAN HIDUP;31364805;36907011;Pengadaan GPS;PT Karya Unggul Bahari;363926;362748;262571;537112;Modal;Pengadaan Barang;1;Tender;0,28;DKI Jakarta;Pengadaan Peralatan Mesin;31/08/2022;19/09/2022;14
2022;Sekretariat Komite Nasional Ekonomi dan Keuangan Syariah;36373297;36902011;Jasa Konsultan Pengembangan Aplikasi Dashboard Pusat Data Ekonomi Syariah TA 2022;PT. SUMMITRA SOLUSINDO;278685;271118;227550;522131;Barang;Jasa Konsultasi;1;Seleksi;0,16;DKI Jakarta;IT;29/08/2022;05/10/2022;28
2022;BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN;36431400;36901011;Pengadaan Barang Seragam dan Perlengkapan Pelatihan Teknis Kesamaptaan Pusdiklat Bea dan Cukai Tahun Anggaran 2022;CV. MEKAR CARANO BATIRAI;300000;260366;259940;521811;Barang;Pengadaan Barang;1;Tender;0;DKI Jakarta;Peralatan dan Perlengkapan Perkantoran;30/08/2022;10/09/2022;9
2022;DIREKTORAT JENDERAL ANGGARAN;36425563;36886011;Pengadaan Jasa Konstruksi Renovasi Penataan Ruang Kerja dan Optimalisasi Ruang Kerja Dalam Rangka Implementasi ABW lantai 12 TA 2022;PT. BONI CIPTA;1159139;1159115;927292;536121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;25/08/2022;21/09/2022;20
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;36345662;36880011;Pengadaan Jasa Perpanjangan Masa Garansi (Extended Warranty) Infrastruktur Teknologi Informasi SPAN dan Storage Direktorat Jenderal Perbendaharaan Tahun 2022;PT SEMBILAN PILAR ANUGERAH;5519500;5346537;5217000;523121;Barang;Jasa Lainnya;1;Tender;0,02;DKI Jakarta;IT;26/08/2022;07/09/2022;9
2022;KANTOR PELAYANAN PAJAK MADYA DUA SEMARANG;36175583;36877011;Pengadaan Pekerjaan Konstruksi Renovasi Interior Ruang Kerja KPP Madya Dua Semarang Tahun Anggaran 2022;PT. MUSTIKA JATI ABADI;682588;676812;521771;536111;Modal;Pekerjaan Konstruksi;1;Tender;0,23;Jawa Tengah;Pekerjaan Konstruksi;23/08/2022;06/09/2022;11
2022;SEKRETARIAT PENGADILAN PAJAK;36274317;36857011;Pengadaan Genset dan Instalasi Sekretariat Pengadilan Pajak Tahun Anggaran 2022;PT. SANTANA ADI DAYA;1657679;1114122;891186;532111;Modal;Pengadaan Barang;2;Tender;0,2;DKI Jakarta;Peralatan dan Perlengkapan Perkantoran;15/08/2022;30/08/2022;11
2022;KANTOR PELAYANAN PAJAK PRATAMA BARABAI;36215440;36855011;PEKERJAAN RENOVASI RUMAH DINAS DI WILAYAH KPP PRATAMA BARABAI;PRATAMA AMANAT SEJAHTERA;1103000;1000084;800067;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Kalimantan Selatan;Pekerjaan Konstruksi;12/08/2022;30/08/2022;12
2022;KANTOR PUSAT DJKN;36325266;36847011;Pengadaan Penguatan Struktur Gedung Kantor Pusat DJKN Tahun 2022;CV. Segitiga Emas Indonesia;4478742;4068403;3254723;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;19/08/2022;08/09/2022;15
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36362304;36845011;Pemeliharaan Appliance Enterprise Data Warehouse Tahun Anggaran 2022;Mastersystem Infotama;16389000;11647490;11647478;523199;Barang;Jasa Lainnya;1;Tender;0;DKI Jakarta;Pemeliharaan Peralatan/Mesin;15/08/2022;31/08/2022;12
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;36368816;36839011;PEMELIHARAAN PERALATAN DAN MESIN BERUPA PENGADAAN MATERIAL MEKANIKAL DAN ELEKTRIKAL PADA KANTOR PUSAT  DIREKTORAT JENDERAL PERBENDAHARAAN TA.2022;PT Dwitama Adi Mandiri;2436000;1503419;1419690;523121;Barang;Pengadaan Barang;1;Tender;0,06;DKI Jakarta;Pemeliharaan Peralatan/Mesin;11/08/2022;26/08/2022;11
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;36311556;36831011;Paket Pengadaan Perpanjangan Lisensi Sistem Operasi Server Aplikasi dan Database Modul Penerimaan Negara Generasi Ketiga Tahun 2022;PT Amoro Technology Indonesia;365403;362604;357650;523121;Barang;Jasa Lainnya;1;Tender;0,01;DKI Jakarta;IT;09/08/2022;23/08/2022;10
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36351599;36828011;Pengembangan Perangkat Pendukung DC/DRC Kementerian Keuangan TA 2022;PT. Packet Systems Indonesia;62871923;61440420;50947890;532111;Modal;Pengadaan Barang;1;Tender;0,17;DKI Jakarta;IT;08/08/2022;02/09/2022;19
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36208043;36826011;Pengadaan Perangkat Information Technology Operations Center (ITOC) Tahun Anggaran 2022;PT. MATA FACETS INTEGRA;3310164;1507380;998000;532111;Modal;Pengadaan Barang;1;Tender;0,34;DKI Jakarta;IT;10/08/2022;31/08/2022;15
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36357559;36822011;Pengembangan Perangkat Backup Sistem TIK;Mastersystem Infotama;18654372;18094741;18059700;532111;Modal;Pengadaan Barang;1;Tender;0;DKI Jakarta;IT;09/08/2022;30/08/2022;15
2022;DIREKTORAT JENDERAL ANGGARAN;36425873;36816011;,Pengadaan Jasa Konstruksi Renovasi Penataan Ruang Kerja dan Optimalisasi Ruang Kerja Dalam Rangka Implementasi ABW lantai 15 TA 2022;CV. TRIDAYA GABEI MANDIRI;599114;592870;474296;536121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;26/08/2022;14/09/2022;14
2022;KANTOR PUSAT DIREKTORAT JENDERAL BEA DAN CUKAI;35334389;36813011;Pengadaan Stiker Tanda Pengaman DJBC Tahun Anggaran 2022;PT. Betawimas Cemerlang;3400000;3398000;3296700;521811;Barang;Pengadaan Barang;4;Tender;0,03;DKI Jakarta;IT;04/08/2022;31/08/2022;19
2022;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;36331605;36808011;Pengadaan Pekerjaan Konstruksi Renovasi Rumah Negara Di Wilayah Dki Jakarta Paket C Tahun Anggaran 2022;PT. HUMBAHAS PERMAI;735000;712175;569740;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;12/08/2022;07/09/2022;18
2022;Komite Investasi Pemerintah;36339433;36807011;Pengadaan Jasa Konsultansi Penyusunan Arsitektur Investasi Pemerintah;ILMUKOMPUTERCOM BRAINDEVS SISTEMA;4968415;4152954;3671436;522131;Barang;Jasa Konsultasi;1;Seleksi;0,12;DKI Jakarta;Konsultansi;05/08/2022;16/09/2022;30
2022;KANTOR WILAYAH DJP JAWA BARAT II;36247310;36803011;Biaya Perencanaan Konstruksi pada Renovasi Gedung Kanwil DJP Jawa Barat II Tahun Anggaran 2022;PT. PRADNYA PARAMITA KONSULTAN;553840;552738;551636;533121;Modal;Jasa Konsultansi Badan Usaha Konstruksi;1;Seleksi;0;Jawa Barat;Konsultansi Konstruksi;09/08/2022;15/09/2022;27
2022;KANTOR PENGELOLAAN TIK DAN BMN MEDAN;36175663;36802011;Rehabilitasi Gudang Eks TUP;CV. RURY ARISKA;401611;401463;321170;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Sumatera Utara;Pekerjaan Konstruksi;05/08/2022;24/08/2022;13
2022;POLITEKNIK KEUANGAN NEGARA STAN;36331585;36800011;PENGADAAN KONSUMSI MAHASISWA  PKN STAN TAHUN AKADEMIK 2022/2023;CV. CIPTA BOGA VIDI;7900000;7866854;6607999;521211;Barang;Jasa Lainnya;1;Tender;0,16;Banten;Operasional/TUSI;05/08/2022;29/08/2022;16
2022;BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN;36331591;36799011;Pengadaan Jasa Konsumsi Pelatihan Teknis Kesamaptaan Tahun 2022;CV. CIPTA BOGA VIDI;750000;691765;660402;521211;Barang;Jasa Lainnya;1;Tender;0,05;DKI Jakarta;Operasional/TUSI;03/08/2022;22/08/2022;13
2022;BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN;36325275;36791011;Pengadaan Jasa Laundry Predeparture Training dan Pelatihan Dasar Angkatan II TA 2022;CV. Kyni Sukses;369645;297063;291354;522191;Barang;Jasa Lainnya;1;Tender;0,02;DKI Jakarta;Operasional/TUSI;29/07/2022;18/08/2022;14
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36311507;36781011;Pengadaan Application Performance Monitoring;PT. METROCOM GLOBAL SOLUSI;6446880;6446880;6249300;536111;Modal;Pengadaan Barang;1;Tender;0,03;DKI Jakarta;IT;12/08/2022;06/09/2022;17
2022;BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN;36311559;36778011;Pengadaan Jasa Konsumsi Predeparture Training dan Pelatihan Dasar CPNS Angkatan II TA 2022;CV. RENEO MAJU BERSAMA;1804960;1080795;1028993;521211;Barang;Jasa Lainnya;1;Tender;0,05;DKI Jakarta;Operasional/TUSI;27/07/2022;08/08/2022;9
2022;KANTOR PELAYANAN PERBENDAHARAAN NEGARA RAHA;36175643;36772011;Pengadaan Fisik Rehab Rumah Dinas dan Pembangunan Pagar Kompleks Rumah Dinas pada KPPN Raha TA 2022;CV. SELEBES KONSTRUKSI;357722;357167;288710;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,19;Sulawesi Tenggara;Pekerjaan Konstruksi;26/07/2022;15/08/2022;15
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36290405;36767011;Tools Manajemen Aset dan Manajemen Konfigurasi Basis Data;PT. MITRA INTEGRASI INFORMATIKA;5883000;5550000;4386720;536111;Modal;Pengadaan Barang;1;Tender;0,21;DKI Jakarta;IT;28/07/2022;22/08/2022;17
2022;KANTOR PUSAT DIREKTORAT JENDERAL PERBENDAHARAAN;36189721;36761011;Pekerjaan Renovasi Interior Gedung Prijadi Praptosuhardjo IIIB Lantai 2 dan 3 Ditjen Perbendaharaan;PT. REKA PERDANA INDONESIA;6750800;6732355;5385884;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;DKI Jakarta;Pekerjaan Konstruksi;26/07/2022;22/08/2022;19
2022;KANWIL DITJEN PERBENDAHARAAN PROVINSI SUMATERA UTARA;36247311;36760011;Rehabilitasi rumah negara jalan bilal no 71O dan 71P;CV. BERKAH ABRAR SEJATI;401377;400954;320763;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Sumatera Utara;Pekerjaan Konstruksi;20/07/2022;10/08/2022;16
2022;GEDUNG KEUANGAN NEGARA BALIKPAPAN;36277408;36759011;Pengadaan Pekerjaan Konstruksi Pembangunan Parkiran Kendaraan Gedung Keuangan Negara Balikpapan;CV. SUMBER LUMINTU;350428;350000;280000;533121;Modal;Pekerjaan Konstruksi;1;Tender;0,2;Kalimantan Timur;Pekerjaan Konstruksi;20/07/2022;10/08/2022;16
2022;PUSAT SISTEM INFORMASI DAN TEKNOLOGI KEUANGAN;36277384;36758011;Lisensi Perangkat Lunak Database;PT. Duta Solusi Prima;8632414;8237093;8126121;536111;Modal;Pengadaan Barang;1;Tender;0,01;DKI Jakarta;IT;20/07/2022;05/08/2022;13
